"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Marja Lewis Ryan";"6 Balloons";"United States";"A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.";2018;75;"Dramas, Independent Movies";"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock"
"Hannah Fidell";"6 Years";"United States";"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.";2015;80;"Dramas, Independent Movies, Romantic Movies";"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael"
"Meenu Gaur, Farjad Nabi";"7 Din Mohabbat In";"Pakistan";"Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.";2018;137;"Comedies, International Movies, Music & Musicals";"Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah"
"Anita Udeep";"90 ML";"India";"Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.";2019;123;"Comedies, International Movies, Music & Musicals";"Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan"
"Rachel Talalay";"A Babysitter's Guide to Monster Hunting";"United States";"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.";2020;99;"Children & Family Movies";"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough"
"Michelle Johnston";"A Cinderella Story: Christmas Wish";"United States";"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.";2019;86;"Children & Family Movies, Comedies, Music & Musicals";"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson"
"Bille August";"A Fortunate Man";"Denmark";"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.";2018;168;"Dramas, International Movies";"Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sarah Viktoria Bjerregaard, Anders Hove, Jens Albinus"
"Sophia Nahli Allison";"A Love Song for Latasha";"United States";"The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.";2020;20;"Documentaries";NA
"Nicole Conn";"A Perfect Ending";"United States";"After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.";2012;110;"Dramas, Independent Movies, LGBTQ Movies";"Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson"
"Marina Seresesky";"A Remarkable Tale";"Spain";"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.";2019;94;"Comedies, International Movies";"Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena, Jimmy Castro, Ricardo Nkosi, Montse Pla, Malcolm Treviño-Sitté, Pepa Charro, Esperanza Elipe, Mariana Cordero, Txema Blasco"
"Cathy Garcia-Molina";"A Second Chance";"Philippines";"Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.";2015;130;"Dramas, International Movies, Romantic Movies";"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz"
"Naoko Yamada";"A Silent Voice";"Japan";"A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.";2016;130;"Anime Features, International Movies";"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga, Mayu Matsuoka"
"Natalie Portman";"A Tale of Love and Darkness";"Israel, United States";"Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.";2015;98;"Dramas, International Movies";"Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon"
"Trisha Ziff";"A Tale of Two Kitchens";"United States, Mexico";"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.";2019;30;"Documentaries, International Movies";NA
"Sofia Coppola";"A Very Murray Christmas";"United States";"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.";2015;57;"Comedies, Music & Musicals";"Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix"
"Cathy Garcia-Molina";"A Very Special Love";"Philippines";"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned.";2008;107;"International Movies, Romantic Movies";"John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo"
"Ava DuVernay";"A Wrinkle in Time";"United States";"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.";2018;110;"Children & Family Movies";"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson"
"Skye Borgman";"Abducted in Plain Sight";"United States";"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.";2017;90;"Documentaries";NA
"Daniela Goggi";"Abzurdah";"Argentina";"A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.";2015;90;"Dramas, International Movies";"Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul"
"Julie Taymor";"Across the Universe";"United States, United Kingdom";"An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.";2007;133;"Dramas, Music & Musicals, Romantic Movies";"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff"
"Fazila Allana";"Aditi Mittal: Things They Wouldn't Let Me Say";"India";"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.";2017;63;"Stand-Up Comedy";"Aditi Mittal"
"Anne Fontaine";"Adore";"Australia, France";"When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.";2013;111;"Dramas, Independent Movies, International Movies";"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson"
"Jennifer Phang";"Advantageous";"United States";"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.";2015;92;"Dramas, Independent Movies, Sci-Fi & Fantasy";"Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth"
"Jenny Gage";"After";"United States";"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.";2019;106;"Dramas, Romantic Movies";"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher"
"Nadia Hallgren";"After Maria";"United States";"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.";2019;38;"Documentaries";NA
"Brittany Andrews";"After Porn Ends 3";"United States";"This third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.";2018;87;"Documentaries";NA
"Alison Klayman";"Ai Weiwei: Never Sorry";"United States";"Chinese artist and activist Ai Weiwei uses social media and art to inspire protests and suffers government persecution for his actions.";2012;91;"Documentaries";"Ai Weiwei, Lao Ai"
"Toyin Abraham";"Alakada Reloaded";NA;"To cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.";2017;104;"Comedies, International Movies";"Kehinde Bankole, Lilian Esoro, Bolaji Amusan, Toyin Abraham, Gabriel Afolayan, Bidemi Kosoko, Wumi Toriola, Tayo Amokade, Helen Paul, Liz DaSilva"
"Leticia Jorge Romero";"Alelí";"Uruguay, Argentina";"Mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house — and dealing with each other.";2019;88;"Comedies, Dramas, International Movies";"Néstor Guzzini, Mirella Pascual, Cristina Morán, Romina Peluffo, Laila Reyes Silberberg, Pablo Tate, Gerónimo Pizzanelli, Georgina Yankelevich, Julio Icasuriaga, Carla Moscatelli"
"Susan Glatzer";"Alive and Kicking";"Sweden, United States";"Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.";2016;89;"Documentaries";NA
"Eva Vives";"All About Nina";"United States";"Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty.";2018;101;"Comedies, Dramas, Independent Movies";"Mary Elizabeth Winstead, Common, Kate del Castillo, Chace Crawford, Jay Mohr, Beau Bridges, Clea DuVall, Melonie Diaz, Camryn Manheim, Mindy Sterling, Angelique Cabral, Nicole Byer, Todd Louiso, Elizabeth Masucci, Sonoya Mizuno, Charlotte Newhouse, Victor Rasuk, Andree Vermeulen"
"Eva Trobisch";"Alles ist gut";"Germany";"A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body.";2019;90;"Dramas, International Movies";"Aenne Schwarz, Andreas Döhler, Hans Löw, Tilo Nest, Lina Wendel, Lisa Hagmeister"
"Susan Walter";"AllI Wish";"United States";"Over a series of birthdays, a happy-go-lucky, commitment-averse fashion designer strives to bring a bit of calm to her chaotic love life.";2017;95;"Dramas, Romantic Movies";"Sharon Stone, Tony Goldwyn, Liza Lapira, Ellen Burstyn, Jason Gibson, Famke Janssen, Caitlin Fitzgerald, Gilles Marini, Erica Ash, Tom Paolino"
"Antoinette Jadaone";"Alone/Together";"Philippines";"Eight years after their breakup, college sweethearts Christine and Raf reconnect at different points in their lives as feelings from the past resurface.";2019;103;"Dramas, International Movies, Romantic Movies";"Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat"
"Jenny Popplewell";"American Murder: The Family Next Door";"United States";"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.";2020;84;"Documentaries";NA
"Mary Harron";"American Psycho";"United States, Canada";"With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges.";2000;102;"Comedies, Cult Movies, Dramas";"Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloë Sevigny, Justin Theroux, Josh Lucas, Matt Ross, Bill Sage, Cara Seymour, Guinevere Turner"
"Amy Schumer";"Amy Schumer Growing";"United States";"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere.";2019;61;"Stand-Up Comedy";"Amy Schumer"
"Amy Schumer";"Amy Schumer: The Leather Special";"United States";"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater.";2017;57;"Stand-Up Comedy";"Amy Schumer"
"Rebecca Zlotowski";"An Easy Girl";"France";"A teen girl is drawn to her cousin’s hedonistic lifestyle when they spend the summer together in Cannes as she learns about herself and her own values.";2019;93;"Comedies, Dramas, International Movies";"Mina Farid, Zahia Dehar, Benoît Magimel, Nuno Lopes, Clotilde Courau, Loubna Abidar, ""Riley"" Lakdhar Dridi, Henri-Noël Tabary"
"Laura Alvea, José Ortuño";"Animas";"Spain, Belgium";"A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.";2018;88;"Horror Movies, International Movies";"Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina"
"Marie Madinier";"Arctic Heart";"France, Belgium";"Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research.";2016;81;"Dramas, International Movies, Romantic Movies";"Charlotte Le Bon, Guillaume Canet, Anne Le Ny, Patrick d'Assumçao, Damien Chapelle, Xavier Beauvois, Vincent Launay-Franceschini"
"Nia Dinata";"Arisan 2";"Indonesia";"A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.";2011;113;"Comedies, Dramas, International Movies";"Surya Saputra, Cut Mini Theo, Tora Sudiro"
"Sarah Smith";"Arthur Christmas";"United Kingdom, United States";"At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.";2011;98;"Children & Family Movies, Comedies";"James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Ramona Marquez, Marc Wootton, Laura Linney, Eva Longoria, Michael Palin, Joan Cusack, Deborah Findlay, Rich Fulcher, Sarah Smith, Clint Dyer, Kerry Shale, Stewart Lee, Bronagh Gallagher, Kevin Cecil, Alistair McGowan, David Menkin, Kris Pearn, Ian Ashpitel, Rich Hall, Seeta Indrani, Jane Horrocks, Peter Baynham, Emma Kennedy, Dominic West, Jerry Lambert, Julia Davis, Robbie Coltrane, Iain McKee, Sanjeev Bhaskar, Andy Serkis, Tamsin Greig, Rhys Darby, Seamus Malone, Cody Cameron, David Schneider, Kevin Eldon, Danny John-Jules, Brian Cummings"
"Rana Ranbir";"Asees";"India";"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land.";2018;123;"Dramas, International Movies, Music & Musicals";"Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai"
"Bonni Cohen, Jon Shenk";"Athlete A";"United States";"This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.";2020;104;"Documentaries, Sports Movies";NA
"Mati Diop";"Atlantics";"France, Senegal, Belgium";"Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.";2019;106;"Dramas, Independent Movies, International Movies";"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene"
"Bonni Cohen, Jon Shenk";"Audrie & Daisy";"United States";"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.";2016;99;"Documentaries";NA
"Stephanie Zwane";"Baby Mamas";"South Africa";"From surprise news to relationship blues, four coworkers in different stages of motherhood unite to support each other in their struggles with men.";2018;98;"Comedies, Dramas, International Movies";"Salamina Mosese, Kay Smith, Thembisa Mdoda, Dineo Ranaka, Sthembiso Khoza, Khaya Mthembu, Jonathan Boynton-Lee, Nicholas Nkuna, Donovan Pietersen, Pamela Nomvete"
"Shikha Makan";"Bachelor Girls";"India";"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai.";2016;61;"Documentaries, International Movies";NA
"Louise Alston";"Back of the Net";"Australia";"An American science geek ready to spend a summer at sea accidentally ends up at an Australian soccer academy and is forced to kick it with the locals.";2019;86;"Children & Family Movies, Sports Movies";"Sofia Wylie, Tiarnie Coupland, Trae Robin, Gemma Chua-Tran, Ashleigh Ross, Yasmin Honeychurch, Raj Labade, Christopher Kirby, Melissa Bonne, Kate Box"
"Salima Koroma";"Bad Rap";"United States, Canada";"Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.";2016;83;"Documentaries, Music & Musicals";"Jonathan Park, Awkwafina, David Lee, Richard Lee"
"Sumitra Bhave, Sunil Sukthankar";"Badha";"India";"A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.";2006;91;"Dramas, International Movies";"Amruta Subhash, Rajesh More, Devika Daftardar, Renuka Daftardar, Uttara Baokar, Jyoti Subhash, Milind Shinde, Sachin Mondkar"
"Zoe Lister-Jones";"Band Aid";"United States";"A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor.";2017;94;"Comedies, Dramas, Independent Movies";"Zoe Lister-Jones, Adam Pally, Fred Armisen, Susie Essman, Retta, Hannah Simone, Brooklyn Decker, Angelique Cabral, Colin Hanks, Ravi V. Patel, Jamie Chung, Erinn Hayes, Gillian Zinser, Jesse Williams"
"Tanit Jitnukul";"Bang Rajan 2";"Thailand";"A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.";2010;122;"Action & Adventure, International Movies";"Puri Hiranyapluek, Paradorn Srichaphan, Chatchai Plengpanich"
"Raja Menon";"Barah Aana";"India";"After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom.";2009;95;"Dramas, International Movies";"Naseeruddin Shah, Arjun Mathur, Vijay Raaz, Tannishtha Chatterjee, Violante Placido, Benjamin Gilani"
"Karen J. Lloyd";"Barbie in Rock 'N Royals";"United States";"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences.";2015;83;"Children & Family Movies";"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer"
"Barbra Streisand, Jim Gable";"Barbra: The Music ... The Mem'ries ... The Magic!";"United States";"Iconic songstress Barbra Streisand culminates her 13-city tour in Miami with dazzling ballads, Broadway standards and stories from behind the scenes.";2017;109;"Music & Musicals";"Barbra Streisand"
"Olivia M. Lamasan";"Barcelona: A Love Untold";"Philippines";"While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life.";2016;132;"Dramas, International Movies, Romantic Movies";"Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, Joey Marquez, Ricky Davao, Maria Isabel Lopez, Ana Capri, Cris Villanueva"
"Dava Whisenant";"Bathtubs Over Broadway";"United States";"A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession.";2018;87;"Documentaries, Music & Musicals";"Steve Young"
"Katarina Launing";"Battle";"Norway, Denmark, Netherlands, Sweden";"After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael.";2018;98;"Dramas, International Movies, Romantic Movies";"Lisa Teige, Fabian Svegaard Tapia, Vebjørn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster"
"Lilibet Foster";"Be Here Now";"United States, Australia";"Trace the brave journey of actor Andy Whitfield, who received a devastating cancer diagnosis while starring in the series ""Spartacus: Blood and Sand.""";2015;110;"Documentaries";"Andy Whitfield"
"Nadia Hallgren";"Becoming";"United States";"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""";2020;89;"Documentaries";"Michelle Obama"
"Keiko Yagi";"Behind ""The Cove"": The Quiet Japanese Speak Out";"Japan, United States";"After a documentary about the Japanese whaling industry garnered international attention, an amateur filmmaker decides to tell the rest of the story.";2015;105;"Documentaries, International Movies";NA
"Katherine Fairfax Wright";"Behind the Curtain: Todrick Hall";"United States";"Follow singer and YouTube sensation Todrick Hall as he launches an original musical based on growing up gay in Texas and finding showbiz success.";2017;100;"Documentaries, LGBTQ Movies, Music & Musicals";"Todrick Hall"
"Constance Marks";"Being Elmo: A Puppeteer's Journey";"United States";"Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street.""";2011;76;"Documentaries";"Kevin Clash, Whoopi Goldberg"
"April Mullen";"Below Her Mouth";"Canada";"An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.";2016;91;"Dramas, Independent Movies, International Movies";"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen, Tommie-Amber Pirie, Melanie Leishman, Andrea Stefancikova, Daniela Barbosa"
"Cate Shortland";"Berlin Syndrome";"Australia";"What starts as a passionate one-night stand quickly turns sinister when Clare learns she's locked inside Andi's apartment with no way out.";2017;116;"International Movies, Thrillers";"Matthias Habich, Max Riemelt, Teresa Palmer, Lucie Aron, Emma Bading"
"Franziska Meyer Price";"Berlin, Berlin: Lolle on the Run";"Germany";"In this cinematic sequel to the hit TV series, Lolle has moved on from Sven and is about to marry her friend Hart – until Sven disrupts her plans.";2020;82;"Comedies, International Movies";"Felicitas Woll, Janina Uhse, Jan Sosniok, Matthias Klimsa, Sandra Borgmann, Kai Lentrodt, Armin Rohde, Gitta Schweighöfer, Kailas Mahadevan"
"Amy Segal";"Best Wishes, Warmest Regards: A Schitt's Creek Farewell";"Canada";"From unseen footage to the last table read, this documentary takes an inside look at the final season of the acclaimed comedy series ""Schitt's Creek.""";2020;44;"Documentaries, LGBTQ Movies";"Daniel Levy, Eugene Levy, Catherine O'Hara, Annie Murphy, Chris Elliott, Emily Hampshire, Sarah Levy, Jennifer Robertson, Noah Reid, Dustin Milligan, Karen Robinson, Rizwan Manji"
"Anna Stone";"Beyond the Boundary: ICC Women's T20 World Cup Australia 2020";NA;"With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket — the ICC Women's T20 World Cup.";2020;59;"Documentaries, International Movies, Sports Movies";NA
"Sneha Taurani";"Bhangra Paa Le";"India";"Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own.";2019;130;"Comedies, Dramas, International Movies";"Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi, Samir Soni, Chaitanya Sharma, Sheeba Chaddha, Akarsh Khurana"
"Jasbir Bijendra Bhati";"Bhouri";"India";"A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.";2017;123;"Dramas, Independent Movies, International Movies";"Raghuvir Yadav, Masha Paur, Mohan Joshi, Manoj Joshi, Mukesh Tiwari, Shakti Kapoor, Sitaram Panchal, Kunika Lall"
